;Title;Date;Time;Score;Number of Comments
271;Alabama Real Estate Investor Sentenced for Bid Rigging and Fraud at Public Foreclosure Auctions;4/14/2017;2:30:58;28;0
272;Man dies after slashing own throat in Glasgow city centre;4/14/2017;2:09:59;32;6
273;Governor Doug Ducey signed into law on Wednesday sweeping reforms that will make it tougher for law enforcement agencies to seize cash and property in investigations.;4/13/2017;4:25:30;1539;91
274;A Samsung Group building evacuated on report of explosives: media;4/14/2017;7:38:51;10;6
275;Target recalls Easter toys due to serious ingestion hazard;4/14/2017;12:21:27;2;3
276;Parents protest bullying at area h.s., after recent suicide;4/14/2017;5:45:52;13;2
277;15-year-old boy arrested for reportedly starting Clarksville fire that caused $500,000 in damage;4/14/2017;8:22:03;8;4
278;European Court finds Russian security forces violated human rights laws when they used flamethrowers, tank cannon, and grenade launchers in a failed attempt to rescue over 1,000 hostages in the 2004 Beslan school siege which left over 330 dead, most of whom were children.;4/13/2017;21:14:33;62;12
279;MARTA: 4 people shot at West Lake station;;;;
280;Mexican authorities arrest suspect in killing of U.S. Border Patrol Agent Brian Terry;4/14/2017;0:24:27;33;5
281;Huddersfield child sex inquiry sees 29 in court - BBC News;4/13/2017;16:07:53;146;52
282;1 killed, 3 injured in Atlanta transit train shooting;4/14/2017;6:40:40;12;2
283;Parole board grants White Boy Rick Wershe public hearing for potential release;4/14/2017;18:57:36;1;0
284;Pair of Airmen stationed at Dover base charged with trafficking, sexually abusing child in dorms;4/14/2017;18:56:59;1;0
285;Korean president refuses to go jail until they put up new wallpaper;4/14/2017;18:56:07;1;0
286;North Korean Official: Situation in a Vicious Cycle;4/14/2017;7:38:00;9;6
287;U.S. may launch strike if North Korea reaches for nuclear trigger;4/14/2017;18:51:51;0;0
288;Legendary flight director praises SpaceX for taking risks;4/14/2017;3:25:23;18;0
289;Burger King advert sabotaged on Wikipedia;4/14/2017;18:46:06;0;0
290;Researchers name loud shrimp after Pink Floyd;4/13/2017;21:29:49;48;14
