ActivityNumber,HobbyName,ActivityName,SeasonName,Status,CategoryName,Community Center,NumberEnrolled,BeginningDate,EndingDate,StartingTime,EndingTime,Minimum Age,Maximum Age,WeekDays,NumberOfHours,NumberOfDates, Fee 
239.2.1811,Snow skiing,Enhance Fitness,Fall 2015,Closed,Active Adults (50+) Classes,Seven Trees Community Center,15,10/11/2015,10/12/2015,10:00 a. m.,11:00 a. m.,50,0,Tu Th,9,9, $38.00 
239.2.1814,Snowboarding,Line Dancing Soul,Fall 2015,Closed,Active Adults (50+) Classes,Seven Trees Community Center,21,17/09/2015,22/10/2015,01:30 p. m.,03:00 p. m.,50,0,Th,9,6, $29.00 
239.2.1815,Snowmobile Riding,Line Dancing Soul,Fall 2015,Closed,Active Adults (50+) Classes,Seven Trees Community Center,18,05/11/2015,10/12/2015,01:30 p. m.,03:00 p. m.,50,0,Th,7.5,5, $26.00 
219.2.1800,Snowmobiles,Enhance Fitness,Fall 2015,Closed,Active Adults (50+) Classes,Southside Community Center,26,29/09/2015,10/12/2015,08:30 a. m.,09:30 a. m.,50,0,Tu Th,21,21, $81.00 
219.2.1922,Snowmobiling,Ipad Beginner,Fall 2015,Closed,Active Adults (50+) Classes,Southside Community Center,3,14/09/2015,05/10/2015,09:30 a. m.,11:00 a. m.,50,0,M,6,4, $12.00 
219.2.1801,Snowshoeing,Line Dance Beginning,Fall 2015,Closed,Active Adults (50+) Classes,Southside Community Center,18,14/09/2015,02/11/2015,01:30 p. m.,03:00 p. m.,50,0,M,10.5,7, $38.00 
219.2.1851,Soap making,Line Dance Beginning,Fall 2015,Closed,Active Adults (50+) Classes,Southside Community Center,16,16/11/2015,14/12/2015,01:30 p. m.,03:00 p. m.,50,0,M,7.5,5, $27.00 
255.2.1811,Soccer,Arthritis Foundation Exercise Program,Fall 2015,Closed,Active Adults (50+) Classes,Willow Glen Community Center,11,04/09/2015,29/09/2015,01:00 p. m.,02:00 p. m.,50,0,Tu F,8,8, $37.00 
255.2.1812,Social,Arthritis Foundation Exercise Program,Fall 2015,Closed,Active Adults (50+) Classes,Willow Glen Community Center,13,06/10/2015,30/10/2015,01:00 p. m.,02:00 p. m.,50,0,Tu F,8,8, $37.00 
255.2.1813,Social Networking,Arthritis Foundation Exercise Program,Fall 2015,Closed,Active Adults (50+) Classes,Willow Glen Community Center,8,06/11/2015,04/12/2015,01:00 p. m.,02:00 p. m.,50,0,Tu F,8,8, $37.00 
255.2.1800,Soft Rock,Enhance Fitness,Fall 2015,Closed,Active Adults (50+) Classes,Willow Glen Community Center,24,30/09/2015,11/12/2015,10:00 a. m.,11:00 a. m.,50,0,W F,20,20, $74.00 
